Sl,GID,MID,Time,P,AP,Type,TID
0,557,1,28'00,9,11,G,1
1,558,1,39'00,25,13,G,1
2,554,1,69'00,386,641,G,14
3,559,1,73'00,641,383,G,14
4,556,1,82'00,388,383,G,14
5,555,1,84'00,386,0,G,14
6,285,2,84'00,614,111,G,4
7,284,2,86'00,428,0,G,16
8,299,3,09'00,138,135,G,5
9,300,3,51'00,619,617,G,5
10,301,3,63'00,368,367,G,13
11,332,4,37'00,513,154,G,6
12,336,4,42'00,79,86,G,3
13,331,4,63'00,153,0,G,6
14,333,4,66'00,89,86,G,3
15,335,4,81'00,89,0,G,3
16,334,4,90'00,626,160,G,6
17,753,5,15'00,503,0,G,19
18,752,5,44'00,186,0,G,7
19,499,6,31'00,209,0,G,8
20,500,6,84'00,62,61,G,2
21,1064,7,14'00,246,0,G,9
22,1063,7,76'00,590,0,G,22
23,1065,7,86'00,246,342,G,9
24,482,8,05'00,488,0,G,18
25,480,8,50'00,488,0,P,18
26,481,8,61'00,339,307,G,12
27,437,10,29'00,576,401,G,15
28,241,11,37'00,295,0,G,11
29,242,11,47'00,456,446,G,17
30,785,12,84'00,89,79,G,3
31,655,13,37'00,209,216,G,8
32,514,14,77'00,62,61,G,2
33,515,14,84'00,239,240,G,9
34,1189,15,35'00,488,0,G,18
35,1190,15,43'00,266,270,G,10
36,1188,15,65'00,276,60,G,10
37,609,16,45'00,194,190,G,7
38,611,16,80'00,190,194,G,7
39,610,16,90'00,197,0,G,7
40,915,17,15'00,636,367,G,13
41,914,17,17'00,636,366,G,13
42,808,18,15'00,111,112,G,4
43,807,18,57'00,641,383,G,14
44,806,18,59'00,386,383,G,14
45,1098,19,16'00,432,0,G,16
46,1097,19,50'00,156,152,G,6
47,814,20,31'00,533,0,G,20
48,816,20,58'00,462,0,G,17
49,815,20,70'00,447,455,G,17
50,817,20,86'00,462,461,G,17
51,1036,21,16'00,514,501,G,19
52,1037,21,78'00,514,654,G,19
53,541,22,04'00,138,0,G,5
54,542,22,29'00,138,618,G,5
55,903,23,64'00,62,58,G,2
56,904,23,79'00,520,0,G,20
57,214,24,69'00,86,89,G,3
58,190,25,56'00,222,0,G,8
59,189,25,57'00,315,324,G,12
60,505,26,07'00,368,369,G,13
61,504,26,08'00,368,369,G,13
62,502,26,47'00,369,355,G,13
63,501,26,59'00,366,369,G,13
64,503,26,68'00,342,248,G,9
65,578,27,55'00,194,0,G,7
66,579,27,67'00,388,386,G,14
67,1028,28,31'00,430,0,G,16
68,1026,28,38'00,432,0,G,16
69,1029,28,44'00,428,423,G,16
70,1023,28,46'00,423,432,G,16
71,1024,28,59'00,431,423,G,16
72,1025,28,66'00,395,0,P,15
73,1027,28,86'00,645,401,G,15
74,1022,28,88'00,645,404,G,15
75,732,29,03'00,462,0,G,17
76,734,29,04'00,489,481,G,18
77,733,29,14'00,460,456,G,17
78,735,29,63'00,488,480,G,18
79,731,29,84'00,461,0,G,17
80,1117,30,27'00,514,497,G,19
81,1113,30,37'00,514,0,P,19
82,1114,30,49'00,599,97,G,4
83,1115,30,57'00,111,100,G,4
84,1112,30,64'00,110,614,G,4
85,1116,30,81'00,654,0,G,19
86,374,31,16'00,577,567,G,21
87,377,31,21'00,156,151,G,6
88,375,31,80'00,150,156,G,6
89,376,31,88'00,556,555,G,21
90,186,32,13'00,618,619,G,5
91,188,32,46'00,618,0,G,5
92,187,32,73'00,603,0,G,22
93,27,33,53'00,22,19,G,1
94,26,33,80'00,29,19,G,1
95,1075,34,89'00,338,337,G,12
96,243,35,41'00,150,148,G,6
97,244,35,66'00,149,0,G,19
98,1187,36,88'00,197,194,G,7
99,471,37,39'00,266,0,G,10
100,474,37,56'00,212,205,G,8
101,472,37,70'00,267,0,P,10
102,473,37,90'00,222,208,G,8
103,411,38,19'00,248,0,G,9
104,410,38,26'00,342,0,G,9
105,414,38,31'00,342,243,G,9
106,412,38,46'00,342,0,G,9
107,413,38,66'00,246,342,G,9
108,1006,39,34'00,590,0,G,22
109,1005,39,48'00,471,0,G,18
110,1003,39,67'00,480,0,G,18
111,1004,39,74'00,603,0,G,22
112,274,40,25'00,11,18,G,1
113,273,40,31'00,29,0,G,1
114,767,42,45'00,453,462,G,17
115,339,43,45'00,295,304,G,11
116,337,43,58'00,377,641,G,14
117,338,43,80'00,295,304,G,11
118,340,43,90'00,294,295,G,11
119,140,44,08'00,19,29,G,1
120,141,44,27'00,23,29,G,1
121,142,44,33'00,514,0,G,19
122,1007,45,59'00,614,0,G,4
123,649,46,69'00,89,0,P,3
124,648,46,79'00,83,79,G,3
125,889,47,16'00,391,641,G,14
126,888,47,20'00,156,0,G,6
127,890,47,74'00,641,391,G,14
128,60,49,07'00,238,246,G,9
129,59,49,44'00,270,0,G,10
130,62,49,70'00,267,0,P,10
131,61,49,87'00,246,630,G,9
132,425,50,04'00,304,287,G,11
133,428,50,08'00,287,0,G,11
134,427,50,11'00,425,422,G,16
135,429,50,23'00,295,285,G,11
136,426,50,29'00,429,431,G,16
137,430,50,38'00,423,426,G,16
138,669,51,17'00,339,0,G,12
139,668,51,50'00,335,325,G,12
140,225,52,02'00,48,41,G,2
141,226,52,86'00,48,62,G,2
142,393,53,75'00,368,363,G,13
143,392,53,80'00,533,0,P,20
144,391,53,83'00,539,533,G,20
145,495,54,29'00,547,0,G,21
146,494,54,45'00,204,203,G,8
147,1071,55,02'00,382,0,G,14
148,1073,55,31'00,411,407,G,15
149,1070,55,76'00,391,0,G,14
150,1072,55,89'00,641,380,G,14
151,1201,56,51'00,655,533,G,20
152,1200,56,60'00,258,267,G,10
153,1144,57,26'00,204,206,G,8
154,1146,57,54'00,352,355,G,13
155,1145,57,59'00,219,212,G,8
156,1143,57,82'00,368,353,G,13
157,1094,58,53'00,342,0,G,9
158,1093,58,76'00,342,238,G,9
159,1095,58,85'00,436,432,G,16
160,1096,58,90'00,436,425,G,16
161,1074,59,49'00,295,301,G,11
162,519,60,30'00,43,61,G,2
163,521,60,40'00,119,112,G,4
164,522,60,42'00,110,119,G,4
165,520,60,57'00,107,0,G,4
166,747,61,88'00,339,337,G,12
167,1120,63,42'00,143,138,G,5
168,1118,63,49'00,137,87,G,5
169,1119,63,62'00,509,506,G,19
170,304,64,43'00,576,556,G,21
171,303,64,46'00,577,0,G,21
172,131,65,18'00,59,46,G,2
173,130,65,42'00,41,0,G,2
174,132,65,72'00,46,0,G,2
175,434,66,02'00,89,0,G,3
176,431,66,15'00,645,0,G,15
177,432,66,52'00,83,89,G,3
178,435,66,59'00,89,0,P,3
179,433,66,62'00,394,0,O,3
180,580,67,27'00,60,267,G,10
181,582,67,72'00,614,119,G,4
182,581,67,89'00,262,266,G,10
183,1086,68,35'00,367,368,G,13
184,1087,68,83'00,369,368,G,13
185,842,69,87'00,386,641,G,14
186,1122,70,55'00,87,412,G,5
187,667,72,20'00,295,301,G,11
188,665,72,55'00,287,285,G,11
189,666,72,75'00,295,0,G,11
190,796,73,42'00,194,192,G,7
191,795,73,79'00,567,0,G,21
192,794,73,90'00,562,0,G,21
193,171,74,34'00,29,25,G,1
194,169,74,39'00,597,0,G,22
195,168,74,80'00,604,598,G,22
196,172,74,82'00,29,0,G,1
197,170,74,86'00,598,0,G,22
198,839,75,28'00,324,335,G,12
199,840,75,44'00,319,0,G,12
200,1131,76,71'00,86,67,G,3
201,607,77,02'00,614,119,G,4
202,606,77,29'00,112,107,G,4
203,605,77,46'00,386,382,G,14
204,608,77,74'00,386,380,G,14
205,604,77,79'00,641,383,G,14
206,138,78,19'00,436,423,G,16
207,136,78,64'00,167,149,G,6
208,139,78,66'00,167,159,G,6
209,137,78,78'00,432,431,G,16
210,213,79,29'00,337,339,G,12
211,212,79,76'00,319,0,P,12
212,683,80,14'00,216,204,G,8
213,682,80,27'00,603,604,G,22
214,681,80,48'00,216,209,G,8
215,1218,81,42'00,300,0,O,13
216,511,82,39'00,501,506,G,19
217,509,82,57'00,505,509,G,19
218,510,82,87'00,645,395,G,15
219,645,83,04'00,490,488,G,18
220,85,84,11'00,533,0,G,20
221,83,84,53'00,456,0,G,17
222,84,84,56'00,649,462,G,17
223,873,85,19'00,48,47,G,2
224,874,85,85'00,240,342,G,9
225,1152,86,61'00,138,0,G,5
226,452,87,12'00,89,0,P,3
227,454,87,22'00,193,0,G,7
228,455,87,39'00,192,190,G,7
229,451,87,74'00,89,80,G,3
230,453,87,81'00,193,190,G,7
231,586,88,43'00,266,256,G,10
232,588,88,44'00,60,46,G,2
233,583,88,54'00,62,48,G,2
234,584,88,66'00,60,47,G,2
235,587,88,78'00,48,62,G,2
236,585,88,84'00,274,272,G,10
237,507,89,08'00,167,159,G,6
238,506,89,17'00,167,159,G,6
239,390,90,44'00,380,386,G,14
240,1137,91,32'00,426,428,G,16
241,1132,91,53'00,432,0,G,16
242,1135,91,56'00,423,422,G,16
243,1133,91,75'00,204,205,G,8
244,1136,91,82'00,428,422,G,16
245,1134,91,88'00,205,0,G,8
246,1181,92,37'00,352,355,G,13
247,1179,92,57'00,462,456,G,17
248,1183,92,58'00,369,636,G,13
249,1180,92,73'00,465,451,G,17
250,1178,92,86'00,367,369,G,13
251,1182,92,90'00,456,0,P,17
252,966,93,48'00,484,488,G,18
253,965,93,85'00,29,13,G,1
254,76,94,43'00,529,533,G,20
255,77,94,83'00,239,234,G,9
256,57,95,45'00,335,0,G,12
257,56,95,52'00,577,576,G,21
258,692,96,24'00,600,0,G,22
259,691,96,32'00,89,79,G,3
260,129,97,40'00,614,0,G,4
261,195,98,45'00,412,130,G,5
262,196,98,69'00,411,401,G,15
263,185,99,30'00,89,83,G,3
264,184,99,61'00,79,83,G,3
265,458,101,13'00,382,373,G,14
266,457,101,37'00,143,178,G,5
267,739,102,44'00,538,519,G,20
268,740,102,54'00,150,0,G,6
269,738,102,88'00,538,529,G,20
270,67,104,61'00,238,0,P,9
271,66,104,63'00,246,238,G,9
272,546,105,12'00,604,0,G,22
273,544,105,27'00,598,0,G,22
274,545,105,35'00,267,0,P,10
275,547,105,39'00,271,0,G,10
276,548,105,76'00,598,0,G,22
277,1151,107,22'00,60,46,G,2
278,1149,107,62'00,636,0,G,13
279,1147,107,71'00,62,47,G,2
280,1150,107,74'00,60,59,G,2
281,1148,107,86'00,37,0,O,13
282,1202,108,06'00,513,516,G,19
283,1203,108,32'00,499,509,G,19
284,601,109,19'00,29,25,G,1
285,756,110,10'00,23,0,G,1
286,754,110,79'00,107,614,G,4
287,755,110,85'00,29,22,G,1
