Sl,PID,FN,LN,Pos,Coun,DOB
1,1,David,Seaman,G,England,19-Sep-63
2,2,Alan,Miller,G,England,29-Mar-70
3,3,Tony,Adams,D,England,10-Oct-66
4,4,Colin,Pates,D,England,10-Aug-61
5,5,Gavin,McGowan,D,England,16-Jan-76
6,6,Pal,Lydersen,D,Norway,10-Sep-65
7,7,Steve,Morrow,D,Northern Ireland,02-Jul-70
8,8,David,O'Leary,D,Ireland,02-May-58
9,9,Steve,Bould,D,England,16-Nov-62
10,10,Scott,Marshall,D,Scotland,01-May-73
11,11,Nigel,Winterburn,D,England,11-Dec-63
12,12,Andy,Linighan,D,England,18-Jun-62
13,13,Lee,Dixon,D,England,17-Mar-64
14,14,Martin,Keown,D,England,24-Jul-66
15,15,Jimmy,Carter,M,England,09-Nov-65
16,16,Mark,Flatts,M,England,14-Oct-72
17,17,John,Jensen,M,Denmark,03-May-65
18,18,David,Hillier,M,England,19-Dec-69
19,19,Ray,Parlour,M,England,07-Mar-73
20,20,Ian,Selley,M,England,14-Jun-74
21,21,Paul,Davis,M,England,09-Dec-61
22,22,Anders,Limpar,M,Sweden,24-Sep-65
23,23,Paul,Merson,M,England,20-Mar-68
24,24,Paul,Shaw,M,England,04-Sep-73
25,25,Kevin,Campbell,F,England,04-Feb-70
26,26,Alan,Smith,F,England,21-Nov-62
27,27,Paul,Dickov,F,Scotland,01-Nov-72
28,28,Neil,Heaney,F,England,11-Aug-72
29,29,Ian,Wright,F,England,03-Nov-63
30,32,Mark,Bosnich,G,Australia,13-Jan-72
31,33,Nigel,Spink,G,England,08-Aug-58
32,34,Michael,Oakes,G,England,30-Oct-73
33,35,Ugo,Ehiogu,D,England,03-Nov-72
34,36,Dariusz,Kubicki,D,Poland,06-Jun-63
35,37,Paul,McGrath,D,Ireland,04-Dec-59
36,38,Earl,Barrett,D,England,28-Apr-67
37,39,Shaun,Teale,D,England,10-Mar-64
38,40,Neil,Cox,D,England,08-Oct-71
39,41,Steve,Staunton,D,Ireland,19-Jan-69
40,42,Bryan,Small,D,England,15-Nov-71
41,43,Kevin,Richardson,M,England,04-Dec-62
42,44,Mark,Blake,M,England,16-Dec-70
43,45,Gareth,Farrelly,M,Ireland,28-Aug-75
44,46,Stephen,Froggatt,M,England,03-Sep-73
45,47,Ray,Houghton,M,Ireland,06-Jan-62
